gene_accession_id,MGI:1095412
gene_symbol,Unc5c
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_id,IMPC_ECH_012_001
pvalue,0.8054769
parameter_name,LVPWs
analysis_id,1tj0lg2l8nn821a
