parameter_id,IMPC_GEM_019_001
mouse_strain,C57BL
gene_symbol,Abca4
analysis_id,09u8g8qj68058qa
gene_accession_id,MGI:109424
pvalue,0.6640131
mouse_life_stage,Early adult
parameter_name,Embryo Size
