mouse_strain,C57BL
pvalue,0.2836197
analysis_id,1726120591zul3x
parameter_name,Respiratory Exchange Ratio
parameter_id,IMPC_CAL_017_001
gene_symbol,Cdh20
mouse_life_stage,Early adult
gene_accession_id,MGI:1346069
