analysis_id,079e3wj41fqfw5a
parameter_id,IMPC_GEL_011_001
pvalue,0.9776704
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Casq2
gene_accession_id,MGI:1309469
parameter_name,Embryo turning
