analysis_id,145505s3gqfo2mx
parameter_id,IMPC_CSD_024_001
gene_accession_id,MGI:1921263
mouse_strain,C57BL
pvalue,0.8291832
parameter_name,Vibrissae - appearance
mouse_life_stage,Early adult
gene_symbol,Rftn2
