mouse_strain,C54BL
parameter_id,MGP_IMM_128_001
gene_symbol,Bmpr1b
analysis_id,1469162mol0rw5x
parameter_name,Conventional DC (cDC) - % of CD45+
pvalue,0.6237332
mouse_life_stage,Early adult
gene_accession_id,MGI:107191
