analysis_id,1qh74k2nncqwrja
gene_accession_id,MGI:1891259
gene_symbol,Lrat
parameter_name,Facial Cleft
pvalue,0.8542065
parameter_id,IMPC_GEO_017_002
mouse_strain,C57BL
mouse_life_stage,Early adult
