analysis_id,0g97y2uml163ypm
parameter_id,MGP_IMM_093_001
mouse_strain,C57BL
parameter_name,Resting CD4- NKT cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:1919051
gene_symbol,Plekhf2
pvalue,0.1057974
