mouse_strain,C57BL
parameter_name,Bone Mineral Content
analysis_id,13m5wf0s8burcbm
gene_symbol,DHTKD1
gene_accession_id,MGI:2445096
mouse_life_stage,Early adult
parameter_id,ESLIM_005_001_005
pvalue,0.3400448
