parameter_name,Right kidney
gene_accession_id,MGI:97565
analysis_id,0f62m88o7sbbvpm
parameter_id,UCD_OWT_005_001
gene_symbol,Pgm1
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6698516
