pvalue,0.2595416
analysis_id,119f9sgp6739tcm
gene_accession_id,MGI:104793
gene_symbol,Runx1t1
mouse_life_stage,Early adult
parameter_name,CD5+ gd T cells - % of CD45+
parameter_id,MGP_MLN_079_001
mouse_strain,C57BL
