parameter_id,IMPC_FEA_003_001
mouse_strain,C57BL
analysis_id,16860f8331655nm
mouse_life_stage,Early adult
gene_accession_id,MGI:2138198
parameter_name,Conditioning Baseline % Freezing Time
gene_symbol,D630023F18Rik
pvalue,0.09472511
