mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3590554
parameter_id,IMPC_CSD_014_001
parameter_name,Coat - hair texture / appearance - back
analysis_id,141aa2e9527u80m
gene_symbol,Firrm
pvalue,0.1085565
