mouse_strain,C57BL
pvalue,0.3972058
gene_accession_id,MGI:1353665
gene_symbol,Usp21
mouse_life_stage,Early adult
parameter_id,MGP_CSD_008_001
analysis_id,18h9ug6uko564nm
parameter_name,Startle response
