analysis_id,0s1g54b9g6si71x
parameter_name,Bone Mineral Content (excluding skull)
mouse_life_stage,E9.5
gene_symbol,Mrpl44
gene_accession_id,MGI:1916413
pvalue,0.2860818
parameter_id,IMPC_DXA_005_001
mouse_strain,C57BL
