parameter_id,IMPC_CBC_017_001
pvalue,0.6230316
mouse_strain,C57BL
gene_symbol,Dpy19l4
gene_accession_id,MGI:2685869
mouse_life_stage,Early adult
parameter_name,Triglycerides
analysis_id,01u8anlu2l5336x
