gene_accession_id,MGI:1914454
gene_symbol,Eif2s2
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,IMPC_OFD_014_001
pvalue,0.7761859
parameter_name,Center distance travelled
analysis_id,274k297x48hbgna
