analysis_id,0452x7eg152rqim
pvalue,0.5326356
parameter_id,IMPC_CSD_078_001
parameter_name,Vocalization
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Pced1a
gene_accession_id,MGI:2442177
