analysis_id,088l9q34ar856im
parameter_id,CCP_XRY_019_001
mouse_strain,C57BL
gene_accession_id,MGI:2384297
pvalue,0.4528551
gene_symbol,Map7d1
mouse_life_stage,Early adult
parameter_name,Fusion of vertebrae
