gene_symbol,Slc35d1
analysis_id,208i9377d146x5a
pvalue,0.1571635
gene_accession_id,MGI:2140361
parameter_name,Dark side time spent
mouse_life_stage,Early adult
mouse_strain,C53BL
parameter_id,CCP_LDT_004_001
