mouse_strain,C57BL
gene_accession_id,MGI:1096385
mouse_life_stage,Late adult
parameter_id,IMPC_HEM_031_001
gene_symbol,Bcan
parameter_name,Lymphocyte differential count
pvalue,0.7395155
analysis_id,1el3p547802z73x
