parameter_id,IMPC_XRY_033_001
analysis_id,1541h110j7j26ta
gene_symbol,Rspo4
gene_accession_id,MGI:1924467
mouse_life_stage,Early adult
parameter_name,Tibia length
pvalue,0.3217672
mouse_strain,C57BL
