parameter_id,IMPC_CSD_078_001
mouse_strain,C57BL
analysis_id,205cim9g87c3d7a
mouse_life_stage,Early adult
pvalue,0.2032958
gene_symbol,Inpp5e
gene_accession_id,MGI:1927753
parameter_name,Vocalization
