pvalue,0.5512868
mouse_life_stage,Early adult
gene_accession_id,MGI:108429
parameter_name,Plasmacytoid DC - % of CD45+
gene_symbol,Lpar1
mouse_strain,C57BL
parameter_id,MGP_IMM_127_001
analysis_id,0vyxacz1l74gcra
