pvalue,0.2049603
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,01v9ewe28297m0m
parameter_name,Plasmacytoid DC - % of CD45+
parameter_id,MGP_IMM_127_001
gene_accession_id,MGI:1931071
gene_symbol,Sec61a2
