mouse_life_stage,Early adult
analysis_id,284svs51a4lql2a
parameter_name,CD11b-low cDC - % of CD45+
gene_accession_id,MGI:1924933
gene_symbol,Ehmt1
mouse_strain,C57BL
pvalue,0.2956213
parameter_id,MGP_IMM_130_001
