parameter_name,Periphery permanence time
pvalue,0.7178259
parameter_id,JAX_OFD_012_001
gene_symbol,Casq2
analysis_id,0g98063poe5686a
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:1309469
