gene_symbol,Cryge
gene_accession_id,MGI:88525
analysis_id,0546847ye551j7x
mouse_life_stage,Early adult
pvalue,0.635224
mouse_strain,C57BL
parameter_id,MGP_IMM_019_001
parameter_name,CD5+ gd T cells - % of gd T cells
