analysis_id,0yqy3a41u481w2x
gene_symbol,Tox2
pvalue,0.4870158
mouse_life_stage,Early adult
gene_accession_id,MGI:3611233
parameter_id,IMPC_CBC_014_001
parameter_name,Alkaline phosphatase
mouse_strain,C57BL
