mouse_life_stage,Early adult
parameter_name,Tremor
parameter_id,IMPC_CSD_030_001
analysis_id,17n0x87345a9f1a
pvalue,0.3716816
gene_symbol,Rpusd2
mouse_strain,C57BL
gene_accession_id,MGI:1918066
