gene_symbol,Eppin
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_082_001
parameter_name,Iris transilumination
pvalue,0.5866552
analysis_id,0cnfk9121s3y1nx
gene_accession_id,MGI:1922776
mouse_strain,C57BL
