mouse_strain,C57BL
pvalue,0.06371847
parameter_id,MGP_IMM_086_001
gene_accession_id,MGI:1913790
parameter_name,CD5+ gd T cells - % of CD45+
analysis_id,041mpe7259n283x
gene_symbol,Fam107b
mouse_life_stage,Early adult
