parameter_id,MGP_IMM_108_001
mouse_strain,C57BL
pvalue,0.2976805
gene_symbol,Plekhf2
mouse_life_stage,Early adult
analysis_id,00o46k0a34wqk9x
parameter_name,Marginal zone B cells - % of CD45+
gene_accession_id,MGI:1919051
