gene_symbol,Stxbp1
mouse_strain,C57BL
analysis_id,0747vht20q2p02a
parameter_id,IMPC_CSD_007_001
pvalue,0.8087706
parameter_name,Coat - color - abdomen
mouse_life_stage,E9.5
gene_accession_id,MGI:107363
