parameter_name,Right posterior chamber depth
gene_symbol,Slc23a3
mouse_life_stage,Early adult
gene_accession_id,MGI:104516
pvalue,0.9605218
mouse_strain,C57BL
analysis_id,07nj8z7r81p6xex
parameter_id,IMPC_EYE_065_001
