gene_symbol,Igsf9
pvalue,0.9657186
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,CCP_XRY_002_001
gene_accession_id,MGI:2135283
analysis_id,2625wv02e655o1a
parameter_name,Zygomatic bone
