analysis_id,028649i7z74ppjx
mouse_strain,C57BL
parameter_name,Percent time in light
pvalue,0.8125881
parameter_id,JAX_LDT_009_001
gene_accession_id,MGI:1891259
gene_symbol,Lrat
mouse_life_stage,Early adult
