pvalue,0.07827212
gene_accession_id,MGI:1339755
parameter_id,IMPC_CSD_040_002
mouse_life_stage,Early adult
parameter_name,Forepaw - size
mouse_strain,C57BL
analysis_id,08hu634amg4p16m
gene_symbol,Csf3r
