parameter_id,MGP_CSD_027_001
mouse_life_stage,Early adult
gene_symbol,Shox2
parameter_name,Ventral coat/hair colour pattern
pvalue,0.2986692
analysis_id,0i8hiw232k638xx
mouse_strain,C57BL
gene_accession_id,MGI:1201673
