analysis_id,11k4tvic74sl3wx
parameter_name,Total CD4+ T cells - % of ab T cells
mouse_life_stage,Early adult
parameter_id,MGP_IMM_004_001
pvalue,0.1913227
gene_accession_id,MGI:1913790
gene_symbol,Fam107b
mouse_strain,C57BL
