mouse_strain,C57BL
parameter_name,HRV
parameter_id,IMPC_ECG_010_001
pvalue,0.9466729
mouse_life_stage,Early adult
gene_accession_id,MGI:104559
gene_symbol,Rcn1
analysis_id,035v282575h65kx
