gene_symbol,Mpdz
pvalue,0.2290564
parameter_id,MGP_IMM_005_001
parameter_name,CD4+ T helper cells - % of CD4+
mouse_strain,C57BL
gene_accession_id,MGI:1343489
analysis_id,1hzm776fwdd352a
mouse_life_stage,Early adult
