gene_accession_id,MGI:1918066
gene_symbol,Rpusd2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,CCP_XRY_005_001
pvalue,0.1544156
parameter_name,Teeth
analysis_id,127024nfe13990m
