mouse_life_stage,Early adult
parameter_name,Plasmacytoid DC - % of CD45+
gene_symbol,Rpusd2
gene_accession_id,MGI:1918066
analysis_id,27h263b7fe20bsa
pvalue,0.8228181
mouse_strain,C57BL
parameter_id,MGP_MLN_115_001
