gene_symbol,Tex38
gene_accession_id,MGI:1922423
parameter_id,IMPC_HEM_002_001
pvalue,0.09664575
parameter_name,Red blood cell count
analysis_id,197ou4178zo7h2x
mouse_strain,C57BL
mouse_life_stage,Early adult
