parameter_name,Vocalisation
gene_accession_id,MGI:98386
parameter_id,ESLIM_008_001_022
analysis_id,03odn18al98f8cm
pvalue,0.2837255
mouse_strain,C57BL
gene_symbol,Sptan1
mouse_life_stage,Early adult
