gene_symbol,Ankrd34a
gene_accession_id,MGI:3617846
analysis_id,1epep55r490269a
pvalue,0.1035312
parameter_name,Fusion of vertebrae
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,CCP_XRY_019_001
