parameter_name,Mean cell volume
pvalue,0.9958906
mouse_life_stage,Early adult
analysis_id,177r7x2dn4639um
parameter_id,ESLIM_016_001_005
gene_accession_id,MGI:104559
gene_symbol,Rcn1
mouse_strain,C57BL
