mouse_life_stage,Early adult
parameter_id,IMPC_GRS_010_001
gene_symbol,Ntrk1
mouse_strain,C57BL
parameter_name,Forelimb grip strength normalised against body weight
analysis_id,00z341lw4tmt6na
pvalue,0.2943943
gene_accession_id,MGI:97383
