gene_symbol,Ambra1
analysis_id,118x90x4059098m
parameter_name,Pallor
parameter_id,IMPC_GEM_025_002
mouse_strain,C57BL
mouse_life_stage,E18.5
gene_accession_id,MGI:2443564
pvalue,0.09134023
