gene_accession_id,MGI:1918398
gene_symbol,Mier1
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_025_001
pvalue,0.2751707
parameter_name,Head size
analysis_id,006n7w96bpx62nx
