gene_accession_id,MGI:101770
gene_symbol,Bfsp1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GPO_002_001
pvalue,0.7482478
parameter_name,Placenta Morphology
analysis_id,1hr90b094zd298m
