parameter_id,MGP_MLN_115_001
pvalue,0.4214263
mouse_life_stage,E9.5
analysis_id,10446qq0637j96a
parameter_name,Plasmacytoid DC - % of CD45+
mouse_strain,C57BL
gene_symbol,Shox2
gene_accession_id,MGI:1201673
