pvalue,0.8106443
parameter_name,Cervical processes
mouse_life_stage,E15.5
parameter_id,IMPC_XRY_063_001
gene_symbol,Ttl
gene_accession_id,MGI:1916987
analysis_id,1689t273133n87x
mouse_strain,C57BL
