analysis_id,11d68j2f9j0smqm
pvalue,0.6508001
gene_symbol,Bltp1
mouse_life_stage,E12.5
gene_accession_id,MGI:2444631
mouse_strain,C57BL
parameter_name,spina bifida
parameter_id,IMPC_GEO_043_002
