pvalue,0.7956127
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Effector CD4+ NKT cells - % of live leukocytes (Panel A)
analysis_id,05382xo7rz29c4m
gene_symbol,Polr3gl
gene_accession_id,MGI:1917120
parameter_id,IMPC_IMM_040_002
