gene_accession_id,MGI:1918142
gene_symbol,Ttll7
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_MLN_003_001
pvalue,0.3058855
parameter_name,Total CD4+ T cells - % of ab T cells
analysis_id,15r57j1pm17t73a
