mouse_life_stage,Early adult
gene_accession_id,MGI:109424
analysis_id,0k0ysba2r6t15gm
pvalue,0.3165534
parameter_id,IMPC_GEM_069_001
mouse_strain,C57BL
gene_symbol,Abca4
parameter_name,Hindbrain morphology
