pvalue,0.4111109
gene_accession_id,MGI:97850
parameter_id,IMPC_IMM_014_002
parameter_name,Treg cells - % of live leukocytes (Panel A)
gene_symbol,Raly
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,0u7960ap0u6b7zm
