gene_symbol,Mindy3
gene_accession_id,MGI:1914210
analysis_id,0210uj52sfnyq1m
mouse_strain,C57BL
pvalue,0.9821411
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_014_002
parameter_name,Treg cells - % of live leukocytes (Panel A)
