analysis_id,037qpl5cun9619a
gene_symbol,Sox18
gene_accession_id,MGI:103559
mouse_strain,C57BL
parameter_id,IMPC_CBC_004_001
pvalue,0.2242012
mouse_life_stage,Early adult
parameter_name,Urea (Blood Urea Nitrogen - BUN)
