mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Chtop
pvalue,0.5750767
parameter_id,IMPC_XRY_060_001
gene_accession_id,MGI:1913761
analysis_id,083efzr059b4k6a
parameter_name,Transitional vertebrae
