pvalue,0.6148917
gene_accession_id,MGI:1915862
mouse_life_stage,E18.5
mouse_strain,C57BL
analysis_id,005k1zy63sv824a
gene_symbol,Ube2c
parameter_id,IMPC_OFD_021_001
parameter_name,Number of rears - total
