mouse_life_stage,Early adult
parameter_id,IMPC_DXA_002_001
gene_symbol,Inpp5e
pvalue,0.1166405
gene_accession_id,MGI:1927753
mouse_strain,C57BL
parameter_name,Fat mass
analysis_id,0o1k058ajf9705m
